SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-8-2019,Condo/Co-op,8635 Falmouth Ave #203,Playa Del Rey,CA,90293,520000,1,1.0,Playa Del Rey,711,18033,1971,198,731,275,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8635-Falmouth-Ave-90293/unit-203/home/6629213,TheMLS,19-465726,N,Y,33.9563219,-118.4360994
PAST SALE,November-5-2019,Condo/Co-op,7740 Redlands St Unit M3071,Playa del Rey,CA,90293,585000,2,2.0,C31 - Playa Del Rey,1048,311704,1971,78,558,448,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7740-Redlands-St-90293/unit-M3071/home/6634458,CRMLS,SB19228233,N,Y,33.9577482,-118.4317758
PAST SALE,January-14-2020,Condo/Co-op,8505 Gulana Ave #4108,Playa Del Rey,CA,90293,472500,1,1.0,Playa Del Rey,703,96505,1986,8,672,468,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8505-Gulana-Ave-90293/unit-4108/home/6632009,TheMLS,19-510000,N,Y,33.9586356,-118.4351183
PAST SALE,September-12-2018,Condo/Co-op,8601 Falmouth Ave #207,Playa Del Rey,CA,90293,805000,2,2.0,Playa Del Rey,1140,68446,1983,497,706,400,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8601-Falmouth-Ave-90293/unit-207/home/6631454,TheMLS,18-372140,N,Y,33.9575488,-118.4372431
PAST SALE,September-13-2018,Condo/Co-op,8512 Tuscany Ave #218,Playa Del Rey,CA,90293,569000,1,1.5,Playa Del Rey,855,65254,1986,496,665,400,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8512-Tuscany-Ave-90293/unit-218/home/6631800,TheMLS,18-370682,N,Y,33.9576039,-118.4386659
PAST SALE,July-30-2018,Condo/Co-op,8707 Falmouth Ave #212,Playa Del Rey,CA,90293,470000,1,1.0,Playa Del Rey,681,136649,1982,541,690,359,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8707-Falmouth-Ave-90293/unit-212/home/6629612,VCRDS,218007723,N,Y,33.9544342,-118.4353798
PAST SALE,July-31-2018,Condo/Co-op,8600 Tuscany Ave #409,Playa Del Rey,CA,90293,780000,2,2.0,Playa Del Rey,1143,69265,1981,540,682,400,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8600-Tuscany-Ave-90293/unit-409/home/6628135,TheMLS,18-355000,N,Y,33.9569977,-118.4384064
PAST SALE,,Condo/Co-op,8152 Manitoba St #3,Playa Del Rey,CA,90293,785000,2,3.0,,1274,,1979,,616,,,,,http://www.redfin.com/CA/Playa-Del-Rey/8152-Manitoba-St-90293/unit-3/home/6630147,,,N,Y,33.9543907,-118.4365848
PAST SALE,October-26-2018,Condo/Co-op,8675 Falmouth Ave #224,Playa del Rey,CA,90293,545000,1,1.0,C31 - Playa Del Rey,681,162351,1983,453,800,358,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8675-Falmouth-Ave-90293/unit-224/home/6631035,CRMLS,SB18230650,N,Y,33.9553033,-118.4358433
PAST SALE,,Condo/Co-op,8512 Tuscany Ave #423,Playa Del Rey,CA,90293,810000,2,2.0,,1367,,1986,,593,,,,,http://www.redfin.com/CA/Playa-Del-Rey/8512-Tuscany-Ave-90293/unit-423/home/6631985,,,N,Y,33.9576039,-118.4386659
PAST SALE,May-21-2018,Condo/Co-op,8300 Manitoba St #213,Playa Del Rey,CA,90293,660000,2,2.0,Playa Del Rey,1060,87407,1984,611,623,339,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8300-Manitoba-St-90293/unit-213/home/12291430,TheMLS,18-322496,N,Y,33.9541634,-118.438649
PAST SALE,April-24-2018,Condo/Co-op,8515 Falmouth Ave #304,Playa Del Rey,CA,90293,576000,1,1.25,Playa Del Rey,855,62904,1984,638,674,400,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8515-Falmouth-Ave-90293/unit-304/home/6631645,TheMLS,18-324100,N,Y,33.9580983,-118.4376268
PAST SALE,November-21-2018,Condo/Co-op,7740 Redlands St Unit G3096,Playa Del Rey,CA,90293,530000,2,2.0,Playa Del Rey,1048,311643,1971,427,506,440,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7740-Redlands-St-90293/unit-G3096/home/6634500,TheMLS,18-381696,N,Y,33.9577482,-118.4317758
PAST SALE,January-30-2018,Multi-Family (2-4 Unit),6325 Vista Del Mar,Playa Del Rey,CA,90293,1815500,5,4.0,Playa Del Rey,2538,2700,1969,722,715,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/6325-Vista-Del-Mar-90293/home/6624394,TheMLS,17-266966,N,Y,33.9622113,-118.4502422
PAST SALE,March-14-2018,Condo/Co-op,8180 Manitoba St #111,Playa Del Rey,CA,90293,720000,2,2.0,Playa Del Rey,1543,201934,1981,679,467,450,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8180-Manitoba-St-90293/unit-111/home/6628606,TheMLS,18-304546,N,Y,33.9541699,-118.4375712
PAST SALE,March-14-2018,Condo/Co-op,8114 Manitoba St #103,Playa del Rey,CA,90293,495000,1,1.0,C31 - Playa Del Rey,730,162351,1983,679,678,220,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8114-Manitoba-St-90293/unit-103/home/6631347,CRMLS,PW18029018,N,Y,33.9557671,-118.436139
PAST SALE,September-7-2018,Condo/Co-op,328 Culver Unit B,Playa Del Rey,CA,90293,690000,1,1.0,Playa Del Rey,902,5657,1979,502,765,299,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/328-Culver-Blvd-90293/unit-B/home/6624944,TheMLS,18-368482,N,Y,33.9600445,-118.4468071
PAST SALE,September-12-2018,Condo/Co-op,8600 Tuscany Ave #219,Playa Del Rey,CA,90293,631000,1,1.5,Playa Del Rey,863,69265,1981,497,731,400,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8600-Tuscany-Ave-90293/unit-219/home/6628029,TheMLS,18-371598,N,Y,33.9569977,-118.4384064
PAST SALE,October-9-2018,Condo/Co-op,8710 Delgany Ave #3,Playa del Rey,CA,90293,533250,1,1.5,C31 - Playa Del Rey,855,18378,1965,470,624,300,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8710-Delgany-Ave-90293/unit-3/home/6628463,CRMLS,PW18185195,N,Y,33.9558508,-118.4390266
PAST SALE,September-11-2018,Condo/Co-op,8710 Delgany Ave #8,Playa del Rey,CA,90293,493000,1,1.25,C31 - Playa Del Rey,859,18378,1965,498,574,300,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8710-Delgany-Ave-90293/unit-8/home/6628482,CRMLS,SB18163702,N,Y,33.9558508,-118.4390266
PAST SALE,July-19-2018,Condo/Co-op,8180 Manitoba St #102,Playa Del Rey,CA,90293,761000,2,2.0,Playa Del Rey,1340,201934,1981,552,568,450,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8180-Manitoba-St-90293/unit-102/home/6628576,TheMLS,18-357012,N,Y,33.9541699,-118.4375712
PAST SALE,October-1-2018,Condo/Co-op,8180 Manitoba St #229,Playa Del Rey,CA,90293,710000,2,2.0,Playa Del Rey,1301,201934,1981,478,546,450,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8180-Manitoba-St-90293/unit-229/home/6628824,TheMLS,18-369810,N,Y,33.9541699,-118.4375712
PAST SALE,August-29-2018,Condo/Co-op,8164 Manitoba St #4,Playa Del Rey,CA,90293,855000,3,2.5,Playa Del Rey,1414,242045,1979,511,605,550,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8164-Manitoba-St-90293/unit-4/home/6630117,TheMLS,18-364378,N,Y,33.9543907,-118.4365848
PAST SALE,July-6-2018,Condo/Co-op,8150 Manitoba St #4,Playa Del Rey,CA,90293,769000,2,3.0,Playa Del Rey,1274,242045,1979,565,604,537,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8150-Manitoba-St-90293/unit-4/home/6630130,TheMLS,18-340766,N,Y,33.9543907,-118.4365848
PAST SALE,June-26-2018,Condo/Co-op,8300 Manitoba St #104,Playa Del Rey,CA,90293,685000,2,2.0,Playa Del Rey,1039,87407,1984,575,659,337,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8300-Manitoba-St-90293/unit-104/home/17236058,TheMLS,18-344350,N,Y,33.9541634,-118.438649
PAST SALE,July-3-2018,Condo/Co-op,8300 Manitoba St #210,Playa Del Rey,CA,90293,701000,2,2.0,Playa Del Rey,1010,87407,1984,568,694,339,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8300-Manitoba-St-90293/unit-210/home/17235894,TheMLS,18-346318,N,Y,33.9541634,-118.438649
PAST SALE,November-2-2018,Condo/Co-op,8601 Falmouth Ave #223,Playa Del Rey,CA,90293,780000,2,1.75,Playa Del Rey,1367,68446,1983,446,571,400,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8601-Falmouth-Ave-90293/unit-223/home/6631493,TheMLS,18-370420,N,Y,33.9575488,-118.4372431
PAST SALE,,Condo/Co-op,8505 Gulana Ave #5103,Playa Del Rey,CA,90293,529500,1,1.0,,734,,1986,,721,,,,,http://www.redfin.com/CA/Playa-Del-Rey/8505-Gulana-Ave-90293/unit-5103/home/6632170,,,N,Y,33.9586356,-118.4351183
PAST SALE,July-20-2018,Condo/Co-op,8650 Gulana Ave Unit C3056,Playa del Rey,CA,90293,605000,2,2.0,C31 - Playa Del Rey,1050,176941,1971,551,576,440,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8650-Gulana-Ave-90293/unit-C3056/home/6632653,CRISNet,SR18132216,N,Y,33.9579252,-118.4329271
PAST SALE,,Condo/Co-op,7765 W 91st St Unit A1130,Playa Del Rey,CA,90293,630000,3,2.0,,1228,,1971,,513,,,,,http://www.redfin.com/CA/Playa-Del-Rey/7765-W-91st-St-90293/unit-A1130/home/6633964,,,N,Y,33.9577482,-118.4317758
PAST SALE,December-17-2018,Condo/Co-op,7765 W 91st St Unit F2112,Playa Del Rey,CA,90293,550000,2,2.0,Playa Del Rey,1050,311643,1971,401,524,445,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7765-W-91st-St-90293/unit-F2112/home/6634221,TheMLS,18-397158,N,Y,33.9577482,-118.4317758
PAST SALE,November-19-2018,Condo/Co-op,7765 W 91st St Unit A3123,Playa Del Rey,CA,90293,435000,1,1.0,Playa Del Rey,722,311643,1971,429,602,440,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7765-W-91st-St-90293/unit-A3123/home/6634398,TheMLS,18-386852,N,Y,33.9577482,-118.4317758
PAST SALE,July-1-2019,Condo/Co-op,8500 Falmouth Ave #2101,Playa Del Rey,CA,90293,530000,1,1.0,Playa Del Rey,733,,1986,205,723,469,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8500-Falmouth-Ave-90293/unit-2101/home/6627335,TheMLS,19-453306,N,Y,33.9581908,-118.4360912
PAST SALE,May-31-2018,Condo/Co-op,8110 Manitoba St #216,Playa del Rey,CA,90293,623000,2,1.0,C31 - Playa Del Rey,867,162351,1983,601,719,371,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8110-Manitoba-St-90293/unit-216/home/6631282,CRMLS,SB18060423,N,Y,33.9553033,-118.4358433
PAST SALE,August-24-2018,Condo/Co-op,8635 Falmouth Ave #202,Playa del Rey,CA,90293,430000,1,1.0,C31 - Playa Del Rey,762,18018,1971,516,564,300,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8635-Falmouth-Ave-90293/unit-202/home/6629227,CRMLS,RS18132026,N,Y,33.9563219,-118.4360994
PAST SALE,March-20-2019,Condo/Co-op,8740 Tuscany Ave #111,Playa Del Rey,CA,90293,475000,1,1.0,Playa Del Rey,782,19379,1971,308,607,370,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8740-Tuscany-Ave-90293/unit-111/home/6629275,TheMLS,19-420374,N,Y,33.9554465,-118.4379541
PAST SALE,January-30-2019,Condo/Co-op,8740 Tuscany Ave #305,Playa Del Rey,CA,90293,484000,1,1.0,Playa Del Rey,780,19379,1971,357,621,370,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8740-Tuscany-Ave-90293/unit-305/home/6629370,TheMLS,18-411566,N,Y,33.9554465,-118.4379541
PAST SALE,,Condo/Co-op,8125 Manitoba St #1,Playa Del Rey,CA,90293,799000,2,3.0,,1260,,1969,,634,,,,,http://www.redfin.com/CA/Playa-Del-Rey/8125-Manitoba-St-90293/unit-1/home/6629500,,,N,Y,33.9561011,-118.4365677
PAST SALE,August-17-2018,Condo/Co-op,8300 Manitoba St #233,Playa del Rey,CA,90293,685000,2,2.0,C31 - Playa Del Rey,960,87407,1984,523,714,339,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8300-Manitoba-St-90293/unit-233/home/12130769,CRMLS,OC18140310,N,Y,33.9541634,-118.438649
PAST SALE,September-14-2018,Condo/Co-op,8110 Manitoba St #102,Playa Del Rey,CA,90293,517500,1,1.0,Playa Del Rey,718,162368,1983,495,721,359,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8110-Manitoba-St-90293/unit-102/home/6631266,TheMLS,18-369328,N,Y,33.9553033,-118.4358433
PAST SALE,June-14-2019,Condo/Co-op,8515 Falmouth Ave #406,Playa Del Rey,CA,90293,765000,2,1.75,Playa Del Rey,1367,62904,1984,222,560,425,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8515-Falmouth-Ave-90293/unit-406/home/6631707,TheMLS,19-466412,N,Y,33.9580983,-118.4376268
PAST SALE,June-19-2019,Condo/Co-op,8710 Delgany Ave #10,Playa Del Rey,CA,90293,540000,1,1.5,Playa Del Rey,859,18378,1965,217,629,300,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8710-Delgany-Ave-90293/unit-10/home/6628487,TheMLS,19-463222,N,Y,33.9558508,-118.4390266
PAST SALE,June-28-2019,Condo/Co-op,8500 Falmouth Ave #3115,Playa del Rey,CA,90293,515000,1,1.0,C31 - Playa Del Rey,744,107008,1986,208,692,469,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8500-Falmouth-Ave-90293/unit-3115/home/6627427,CRMLS,SB19025009,N,Y,33.9581908,-118.4360912
PAST SALE,March-20-2019,Condo/Co-op,8238 W Manchester Ave #304,Playa Del Rey,CA,90293,968888,3,3.0,Playa Del Rey,2020,30615,2008,308,480,516,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8238-W-Manchester-Ave-90293/unit-304/home/26848599,TheMLS,19-429092,N,Y,33.9568427,-118.4399038
PAST SALE,May-20-2019,Condo/Co-op,8600 Tuscany Ave #212,Playa Del Rey,CA,90293,760000,2,2.0,Playa Del Rey,1143,69265,1981,247,665,425,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8600-Tuscany-Ave-90293/unit-212/home/6628006,TheMLS,19-433296,N,Y,33.9569977,-118.4384064
PAST SALE,February-2-2018,Condo/Co-op,8512 Tuscany Ave #209,Playa del Rey,CA,90293,733000,2,2.0,C31 - Playa Del Rey,1140,65254,1986,719,643,400,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8512-Tuscany-Ave-90293/unit-209/home/6631780,CRMLS,SB17263574,N,Y,33.9576039,-118.4386659
PAST SALE,September-17-2018,Condo/Co-op,8600 Tuscany Ave #216,Playa Del Rey,CA,90293,765000,2,2.0,Playa Del Rey,1168,69265,1981,492,655,400,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8600-Tuscany-Ave-90293/unit-216/home/6628022,TheMLS,18-368092,N,Y,33.9569977,-118.4384064
PAST SALE,May-3-2019,Condo/Co-op,8600 Tuscany Ave #307,Playa Del Rey,CA,90293,755000,2,2.0,Playa Del Rey,1183,69265,1981,264,638,425,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8600-Tuscany-Ave-90293/unit-307/home/6628058,TheMLS,19-433630,N,Y,33.9569977,-118.4384064
PAST SALE,May-15-2019,Condo/Co-op,8600 Tuscany Ave #309,Playa del Rey,CA,90293,680000,2,1.75,C31 - Playa Del Rey,1183,,1981,252,575,450,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8600-Tuscany-Ave-90293/unit-309/home/6628062,CRMLS,SB19035080,N,Y,33.9569977,-118.4384064
PAST SALE,,Condo/Co-op,8600 Tuscany Ave #421,Playa Del Rey,CA,90293,745000,2,2.0,,1147,,1981,,650,,,,,http://www.redfin.com/CA/Playa-Del-Rey/8600-Tuscany-Ave-90293/unit-421/home/6628167,,,N,Y,33.9569977,-118.4384064
PAST SALE,May-14-2019,Condo/Co-op,8238 W Manchester Ave #208,Playa del Rey,CA,90293,778000,2,2.0,C31 - Playa Del Rey,1590,30616,2008,253,489,511,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8238-W-Manchester-Ave-90293/unit-208/home/26848608,CRMLS,SB19070044,N,Y,33.9568427,-118.4399038
PAST SALE,August-21-2019,Condo/Co-op,8238 W Manchester Ave #105,Playa Del Rey,CA,90293,700000,2,2.0,Playa Del Rey,1205,30615,2008,154,581,453,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8238-W-Manchester-Ave-90293/unit-105/home/26848515,TheMLS,19-485820,N,Y,33.9568427,-118.4399038
PAST SALE,,Condo/Co-op,8238 W Manchester Ave #201,Playa Del Rey,CA,90293,722500,2,2.0,,1130,,2008,,639,,,,,http://www.redfin.com/CA/Playa-Del-Rey/8238-W-Manchester-Ave-90293/unit-201/home/26848609,,,N,Y,33.9568427,-118.4399038
PAST SALE,November-5-2019,Condo/Co-op,8600 Tuscany Ave #416,Playa Del Rey,CA,90293,755000,2,2.0,Playa Del Rey,1168,69265,1981,78,646,425,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8600-Tuscany-Ave-90293/unit-416/home/6628155,TheMLS,19-511978,N,Y,33.9569977,-118.4384064
PAST SALE,November-22-2019,Condo/Co-op,8600 Tuscany Ave #214,Playa del Rey,CA,90293,759000,2,2.0,C31 - Playa Del Rey,1143,69265,1981,61,664,425,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8600-Tuscany-Ave-90293/unit-214/home/6628012,CRMLS,PV19193864,N,Y,33.9569977,-118.4384064
PAST SALE,,Condo/Co-op,8351 W Manchester Ave,Playa Del Rey,CA,90293,2375000,6,8.0,,,,1960,,,,,,,http://www.redfin.com/CA/Playa-Del-Rey/8351-W-Manchester-Ave-90293/home/6622741,,,N,Y,33.956787,-118.4417913
PAST SALE,June-7-2018,Condo/Co-op,7777 W 91st St Unit B3162,Playa Del Rey,CA,90293,630000,3,2.0,Playa Del Rey,1262,311643,1971,594,499,440,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7777-W-91st-St-90293/unit-B3162/home/6634344,TheMLS,18-352446,N,Y,33.9577482,-118.4317758
PAST SALE,February-28-2018,Condo/Co-op,8640 Gulana Ave Unit J2006,Playa Del Rey,CA,90293,446000,1,1.0,Playa Del Rey,718,177094,1971,693,621,440,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8640-Gulana-Ave-90293/unit-J2006/home/6632475,TheMLS,18-309972,N,Y,33.9579252,-118.4329271
PAST SALE,July-30-2019,Condo/Co-op,7765 W 91st St Unit F2099,Playa Del Rey,CA,90293,619000,3,2.0,Playa Del Rey,1262,311643,1971,176,490,440,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7765-W-91st-St-90293/unit-F2099/home/6634241,TheMLS,19-474304,N,Y,33.9577482,-118.4317758
PAST SALE,March-23-2018,Condo/Co-op,7777 W 91st St Unit E3144,Playa del Rey,CA,90293,630000,2,1.75,C31 - Playa Del Rey,1048,311693,1971,670,601,415,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7777-W-91st-St-90293/unit-E3144/home/6634372,CRMLS,AR17275919,N,Y,33.9577482,-118.4317758
PAST SALE,November-27-2018,Condo/Co-op,8640 Gulana Ave Unit J1013,Playa del Rey,CA,90293,589900,2,2.0,C31 - Playa Del Rey,1048,176941,1971,421,563,440,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8640-Gulana-Ave-90293/unit-J1013/home/6632263,CRMLS,CV18221983,N,Y,33.9579252,-118.4329271
PAST SALE,March-19-2019,Condo/Co-op,7742 Redlands St Unit H2026,Playa del Rey,CA,90293,580000,2,2.0,C31 - Playa Del Rey,1049,176941,1971,309,553,440,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7742-Redlands-St-90293/unit-H2026/home/6632582,CRMLS,SB19007586,N,Y,33.9579252,-118.4329271
PAST SALE,April-30-2019,Condo/Co-op,7740 Redlands St Unit M1076,Playa Del Rey,CA,90293,436000,1,1.0,Playa Del Rey,718,311643,1971,267,607,440,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7740-Redlands-St-90293/unit-M1076/home/6634022,TheMLS,19-429766,N,Y,33.9577482,-118.4317758
PAST SALE,July-25-2018,Condo/Co-op,7740 Redlands St Unit G3097,Playa del Rey,CA,90293,630000,3,2.0,C31 - Playa Del Rey,1262,311704,1971,546,499,440,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7740-Redlands-St-90293/unit-G3097/home/6634504,CRMLS,SB18138022,N,Y,33.9577482,-118.4317758
PAST SALE,July-10-2019,Condo/Co-op,7740 Redlands St Unit G2087,Playa Del Rey,CA,90293,415000,1,1.0,Playa Del Rey,722,311643,1971,196,575,440,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7740-Redlands-St-90293/unit-G2087/home/6634293,TheMLS,19-462618,N,Y,33.9577482,-118.4317758
PAST SALE,August-8-2019,Condo/Co-op,7740 Redlands St Unit G3085,Playa del Rey,CA,90293,572500,2,2.0,C31 - Playa Del Rey,1048,311643,1971,167,546,440,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7740-Redlands-St-90293/unit-G3085/home/6634518,CRISNet,SR19127015,N,Y,33.9577482,-118.4317758
PAST SALE,August-8-2019,Condo/Co-op,7777 W 91st St Unit E2139,Playa del Rey,CA,90293,590000,2,2.0,C31 - Playa Del Rey,1048,311704,1971,167,563,440,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7777-W-91st-St-90293/unit-E2139/home/6634171,CRMLS,PW19130646,N,Y,33.9577482,-118.4317758
PAST SALE,September-17-2019,Condo/Co-op,7740 Redlands St Unit M2075,Playa Del Rey,CA,90293,445000,1,1.0,Playa Del Rey,722,311643,1971,127,616,440,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7740-Redlands-St-90293/unit-M2075/home/6634249,TheMLS,19-497666,N,Y,33.9577482,-118.4317758
PAST SALE,September-26-2019,Condo/Co-op,7777 W 91st St Unit E1137,Playa Del Rey,CA,90293,440000,1,1.0,Playa Del Rey,718,311643,1971,118,613,448,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7777-W-91st-St-90293/unit-E1137/home/6633918,TheMLS,19-501398,N,Y,33.9577482,-118.4317758
PAST SALE,September-13-2019,Condo/Co-op,7777 W 91st St Unit E1142,Playa del Rey,CA,90293,455000,1,1.0,C31 - Playa Del Rey,718,311704,1971,131,634,448,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7777-W-91st-St-90293/unit-E1142/home/6633900,CRMLS,PW19188644,N,Y,33.9577482,-118.4317758
PAST SALE,September-13-2019,Condo/Co-op,7765 W 91st St Unit F3106,Playa del Rey,CA,90293,425000,1,1.0,C31 - Playa Del Rey,722,311704,1971,131,589,448,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7765-W-91st-St-90293/unit-F3106/home/6634430,CRMLS,OC19171870,N,Y,33.9577482,-118.4317758
PAST SALE,October-2-2019,Condo/Co-op,7742 Redlands St Unit H3032,Playa del Rey,CA,90293,447500,1,1.0,C31 - Playa Del Rey,718,176941,1971,112,623,440,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7742-Redlands-St-90293/unit-H3032/home/6632719,CRMLS,SB19183541,N,Y,33.9579252,-118.4329271
PAST SALE,December-18-2019,Condo/Co-op,7765 W 91st St Unit A1125,Playa Del Rey,CA,90293,388000,1,1.0,Playa Del Rey,612,311643,1971,35,634,448,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7765-W-91st-St-90293/unit-A1125/home/6633932,TheMLS,19-527448,N,Y,33.9577482,-118.4317758
PAST SALE,January-1-2020,Condo/Co-op,8640 Gulana Ave Unit J3011,Playa Del Rey,CA,90293,419000,1,1.0,Playa Del Rey,722,177094,1971,21,580,448,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8640-Gulana-Ave-90293/unit-J3011/home/6632619,TheMLS,19-525622,N,Y,33.9579252,-118.4329271
